Transaction Date,Post Date,Description,Category,Type,Amount
03/18/2020,03/18/2020,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-152.67
03/16/2020,03/17/2020,DOORDASH*CLEMENTINES,Food & Drink,Sale,-24.81
03/13/2020,03/15/2020,WHOLEFDS DUN #10547,Groceries,Sale,-81.20
03/13/2020,03/15/2020,TRADER JOE'S #246,Groceries,Sale,-146.38
03/12/2020,03/15/2020,OAKLAND PARK METER IPS,Bills & Utilities,Sale,-1.00
03/13/2020,03/15/2020,TST* TARTINE - BERKELEY G,Food & Drink,Sale,-20.75
03/13/2020,03/13/2020,DOORDASH*ERIKS DELICAF,Food & Drink,Sale,-16.49
03/12/2020,03/13/2020,WHOLEFDS BRK 10006,Groceries,Sale,-21.01
03/11/2020,03/13/2020,BAAGAN,Food & Drink,Sale,-41.46
03/11/2020,03/13/2020,LUCKY #770 SAN RAMO,Groceries,Sale,-30.36
03/12/2020,03/13/2020,PETCO 348     63503486,Shopping,Sale,-30.57
03/11/2020,03/12/2020,WHOLEFDS DUN #10547,Groceries,Sale,-43.72
03/09/2020,03/11/2020,STARBUCKS STORE 50485,Food & Drink,Sale,-8.40
03/09/2020,03/10/2020,WHOLEFDS DUN #10547,Groceries,Sale,-57.73
03/08/2020,03/09/2020,WHOLEFDS DUN #10547,Groceries,Sale,-100.66
03/08/2020,03/08/2020,Payment Thank You - Web,,Payment,1000.00
03/06/2020,03/08/2020,WHOLEFDS RAM 10126,Groceries,Sale,-185.17
03/03/2020,03/04/2020,NEW YORK TIMES DIGITAL,Bills & Utilities,Sale,-16.00
03/03/2020,03/04/2020,BEST BUY      00001347,Shopping,Sale,-49.13
03/01/2020,03/01/2020,ANNUAL MEMBERSHIP FEE,Fees & Adjustments,Fee,-450.00
02/28/2020,03/01/2020,WHOLEFDS DUN #10547,Groceries,Sale,-38.03
02/27/2020,03/01/2020,BAAGAN,Food & Drink,Sale,-45.79
02/28/2020,03/01/2020,AT&amp;T S10K 15087,Shopping,Sale,-146.17
02/28/2020,03/01/2020,TRADER JOE'S #246,Groceries,Sale,-193.16
02/27/2020,02/28/2020,DOORDASH*ERIKS DELICAF,Food & Drink,Sale,-21.34
02/25/2020,02/27/2020,SPROUTS FARMERS MAR,Groceries,Sale,-51.91
02/24/2020,02/25/2020,DOORDASH*MENDOCINO FAR,Food & Drink,Sale,-23.47
02/23/2020,02/24/2020,HOMEGOODS # 0548,Shopping,Sale,-357.06
02/22/2020,02/24/2020,STARBUCKS STORE 50485,Food & Drink,Sale,-8.20
02/23/2020,02/24/2020,HOMEGOODS # 0548,Shopping,Sale,-6.48
02/21/2020,02/23/2020,WHOLEFDS DUN #10547,Groceries,Sale,-27.68
02/20/2020,02/21/2020,WHOLEFDS DUN #10547,Groceries,Sale,-17.33
02/20/2020,02/20/2020,DOORDASH*C CASA,Food & Drink,Sale,-50.94
02/18/2020,02/18/2020,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-124.42
02/17/2020,02/18/2020,TRADER JOE'S #246,Groceries,Sale,-151.81
