,Event ID,Ack.,Event Type,Event Code,Plant,Asset,Start Time,End Time,Duration,Energy Loss  (kWh),Rate Loss  (kWh / h),Work Order,Work Order Status,Controllable,Responsibility,Level 1,Level 2,Level 3,Level 4,Level 5,Level 4,Level 5,NERC Performance,FEH Level 1,FEH Level 2,System,Component
,EG-0016217493,UNACK,Inverter Degraded,PF200 - Production Degraded,041 - Stockton East Water District -  High Side - Ph.I,INV06 - INVERTER 6,11/05/2019 09:00:00,,0d 04:42:19,77.60118,16.49,Create,,Controllable,O&M,,,Information Available,Operative,In Service,Partial Performance,Derated - Other,,,,,
,EG-0016217774,UNACK,Inverter Degraded,PF200 - Production Degraded,041 - Stockton East Water District -  High Side - Ph.I,INV10 - INVERTER 10,11/05/2019 09:00:00,,0d 04:42:19,78.02511,16.58,Create,,Controllable,O&M,,,Information Available,Operative,In Service,Partial Performance,Derated - Other,,,,,
,EG-0016217625,UNACK,Inverter Degraded,PF200 - Production Degraded,041 - Stockton East Water District -  High Side - Ph.I,INV11 - INVERTER 11,11/05/2019 09:00:00,,0d 04:42:19,78.20358,16.62,Create,,Controllable,O&M,,,Information Available,Operative,In Service,Partial Performance,Derated - Other,,,,,
,EG-0016217779,UNACK,Inverter Degraded,PF200 - Production Degraded,041 - Stockton East Water District -  High Side - Ph.I,INV02 - INVERTER 2,11/05/2019 09:00:00,,0d 04:42:19,80.60916,17.13,Create,,Controllable,O&M,,,Information Available,Operative,In Service,Partial Performance,Derated - Other,,,,,
,EG-0016217623,UNACK,Inverter Degraded,PF200 - Production Degraded,041 - Stockton East Water District -  High Side - Ph.I,INV09 - INVERTER 9,11/05/2019 09:00:00,,0d 04:42:19,78.81341,16.75,Create,,Controllable,O&M,,,Information Available,Operative,In Service,Partial Performance,Derated - Other,,,,,
,EG-0016217495,UNACK,Inverter Degraded,PF200 - Production Degraded,041 - Stockton East Water District -  High Side - Ph.I,INV12 - INVERTER 12,11/05/2019 08:55:00,,0d 04:47:19,80.13363,16.73,Create,,Controllable,O&M,,,Information Available,Operative,In Service,Partial Performance,Derated - Other,,,,,
,EG-0016217786,UNACK,Inverter Degraded,PF200 - Production Degraded,041 - Stockton East Water District -  High Side - Ph.I,INV15 - INVERTER 15,11/05/2019 08:55:00,,0d 04:47:19,53.08933,11.09,Create,,Controllable,O&M,,,Information Available,Operative,In Service,Partial Performance,Derated - Other,,,,,
,EG-0016217785,UNACK,Inverter Degraded,PF200 - Production Degraded,041 - Stockton East Water District -  High Side - Ph.I,INV05 - INVERTER 5,11/05/2019 08:55:00,,0d 04:47:19,79.82601,16.67,Create,,Controllable,O&M,,,Information Available,Operative,In Service,Partial Performance,Derated - Other,,,,,
,EG-0016217629,UNACK,Inverter Degraded,PF200 - Production Degraded,041 - Stockton East Water District -  High Side - Ph.I,INV14 - INVERTER 14,11/05/2019 08:55:00,,0d 04:47:19,85.62224,17.88,Create,,Controllable,O&M,,,Information Available,Operative,In Service,Partial Performance,Derated - Other,,,,,
,EG-0016217256,UNACK,Inverter Degraded,PF200 - Production Degraded,041 - Stockton East Water District -  High Side - Ph.I,INV04 - INVERTER 4,11/05/2019 08:50:00,,0d 04:52:19,83.88255,17.22,Create,,Controllable,O&M,,,Information Available,Operative,In Service,Partial Performance,Derated - Other,,,,,
,EG-0016217255,UNACK,Inverter Degraded,PF200 - Production Degraded,041 - Stockton East Water District -  High Side - Ph.I,INV08 - INVERTER 8,11/05/2019 08:45:00,,0d 04:57:19,90.75643,18.31,Create,,Controllable,O&M,,,Information Available,Operative,In Service,Partial Performance,Derated - Other,,,,,
,EG-0016216887,UNACK,Inverter Degraded,PF200 - Production Degraded,017 - Tracy USD -  Kimball HS,INV04 - Inverter No. 4,11/05/2019 08:00:00,,0d 05:42:19,50.17231,8.79,Create,,Controllable,O&M,,,Information Available,Operative,In Service,Partial Performance,Derated - Other,,,,,
,EG-0016216866,UNACK,Inverter Degraded,PF200 - Production Degraded,003 - Templeton USD - Templeton High School,INV13 - Inverter No 13,11/05/2019 07:50:00,,0d 05:52:19,60.34958,10.28,Create,,Controllable,O&M,,,Information Available,Operative,In Service,Partial Performance,Derated - Other,,,,,
,EG-0016216487,UNACK,Plant Degraded,PF200 - Production Degraded,057 - Tucson Lighthouse YMCA,057 - Tucson Lighthouse YMCA,11/05/2019 08:05:00,,0d 06:37:19,,,Create,,Controllable,O&M,,,Information Available,Operative,In Service,Partial Performance,Derated - Other,,,,,
,EG-0016216273,UNACK,Inverter Degraded,PF200 - Production Degraded,063 - Midland Park High,INV06 - PV1-6,11/05/2019 08:05:00,,0d 08:37:19,31.1061,3.61,Create,,Controllable,O&M,,,Information Available,Operative,In Service,Partial Performance,Derated - Other,,,,,
,EG-0016077226,ACKED,Inv Down,PF100 - Production Down,030 - Imperial County - Jail-RADF,INV08 - INVERTER - 8,10/29/2019 12:25:00,,7d 02:17:19,2897.59611,17.02,Create,,Controllable,O&M,,,Information Available,Non-Operative,Forced Outage,Forced Outage,Other Forced Outage,,,,,
,EG-0016077032,ACKED,Inv Down,PF100 - Production Down,030 - Imperial County - Jail-RADF,INV07 - INVERTER - 7,10/29/2019 11:50:00,,7d 02:52:19,2932.53907,17.16,Create,,Controllable,O&M,,,Information Available,Non-Operative,Forced Outage,Forced Outage,Other Forced Outage,,,,,
,EG-0015931822,ACKED,Plant Comm Loss,PF400 - Communication Issue,005 - City of San Diego- Rec Center Mountain View,005 - City of San Diego- Rec Center Mountain View,10/22/2019 13:10:00,,14d 01:32:19,,,WO-0308142,Waiting Approval,Controllable,O&M,,,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,,,,,
,EG-0015745037,UNACK,Comm Loss,PF400 - Communication Issue,057 - Tucson Lighthouse YMCA,INV03 - INV-03,10/14/2019 10:00:00,,22d 04:42:19,,,Create,,Controllable,O&M,,,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,,,,,
,EG-0015744935,UNACK,Inv Down,PF100 - Production Down,057 - Tucson Lighthouse YMCA,INV03 - INV-03,10/14/2019 09:55:00,,22d 04:47:19,3.08226,0.01,Create,,Controllable,O&M,,,Information Available,Non-Operative,Forced Outage,Forced Outage,Other Forced Outage,,,,,
,EG-0015615139,UNACK,Plant Down,PF100 - Production Down,067 - Saddle Brook High School,067 - Saddle Brook High School,10/08/2019 16:55:00,,28d 00:47:19,18.3454,0.03,Create,,Controllable,O&M,,,Information Available,Non-Operative,Forced Outage,Forced Outage,Other Forced Outage,,,,,
,EG-0015615247,UNACK,Down (Plant Down),PF101 - Inverter Down (Plant Down),067 - Saddle Brook High School,INV01 - Inverter - 1,10/08/2019 16:55:00,,28d 00:47:19,0,0,Create,,Controllable,O&M,,,Information Available,Non-Operative,Forced Outage,Forced Outage,Other Forced Outage,,,,,
,EG-0015615241,UNACK,Down (Plant Down),PF101 - Inverter Down (Plant Down),067 - Saddle Brook High School,INV01 - Inverter - 8,10/08/2019 16:55:00,,28d 00:47:19,0,0,Create,,Controllable,O&M,,,Information Available,Non-Operative,Forced Outage,Forced Outage,Other Forced Outage,,,,,
,EG-0015615242,UNACK,Down (Plant Down),PF101 - Inverter Down (Plant Down),067 - Saddle Brook High School,INV01 - Inverter - 9,10/08/2019 16:55:00,,28d 00:47:19,0,0,Create,,Controllable,O&M,,,Information Available,Non-Operative,Forced Outage,Forced Outage,Other Forced Outage,,,,,
,EG-0015615243,UNACK,Down (Plant Down),PF101 - Inverter Down (Plant Down),067 - Saddle Brook High School,INV01 - Inverter - 2,10/08/2019 16:55:00,,28d 00:47:19,0,0,Create,,Controllable,O&M,,,Information Available,Non-Operative,Forced Outage,Forced Outage,Other Forced Outage,,,,,
,EG-0015615244,UNACK,Down (Plant Down),PF101 - Inverter Down (Plant Down),067 - Saddle Brook High School,INV01 - Inverter - 7,10/08/2019 16:55:00,,28d 00:47:19,0,0,Create,,Controllable,O&M,,,Information Available,Non-Operative,Forced Outage,Forced Outage,Other Forced Outage,,,,,
,EG-0015615245,UNACK,Down (Plant Down),PF101 - Inverter Down (Plant Down),067 - Saddle Brook High School,INV01 - Inverter - 6,10/08/2019 16:55:00,,28d 00:47:19,0,0,Create,,Controllable,O&M,,,Information Available,Non-Operative,Forced Outage,Forced Outage,Other Forced Outage,,,,,
,EG-0015615246,UNACK,Down (Plant Down),PF101 - Inverter Down (Plant Down),067 - Saddle Brook High School,INV01 - Inverter - 5,10/08/2019 16:55:00,,28d 00:47:19,0,0,Create,,Controllable,O&M,,,Information Available,Non-Operative,Forced Outage,Forced Outage,Other Forced Outage,,,,,
,EG-0015615248,UNACK,Down (Plant Down),PF101 - Inverter Down (Plant Down),067 - Saddle Brook High School,INV01 - Inverter - 3,10/08/2019 16:55:00,,28d 00:47:19,0,0,Create,,Controllable,O&M,,,Information Available,Non-Operative,Forced Outage,Forced Outage,Other Forced Outage,,,,,
,EG-0015615249,UNACK,Down (Plant Down),PF101 - Inverter Down (Plant Down),067 - Saddle Brook High School,INV01 - Inverter - 4,10/08/2019 16:55:00,,28d 00:47:19,0,0,Create,,Controllable,O&M,,,Information Available,Non-Operative,Forced Outage,Forced Outage,Other Forced Outage,,,,,
,EG-0015615204,UNACK,Plant Comm Loss,PF400 - Communication Issue,067 - Saddle Brook High School,067 - Saddle Brook High School,10/05/2019 18:10:00,,30d 23:32:19,,,Create,,Controllable,O&M,,,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,,,,,
,EG-0015614695,UNACK,Comm Loss,PF400 - Communication Issue,067 - Saddle Brook High School,PYR01 - Sun,10/05/2019 17:05:00,,31d 00:37:19,,,Create,,Controllable,O&M,,,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,,,,,
